Data,Label
মনের আকাশ মেঘে ঢাকা।,Literal
শিক্ষা জীবন পরিবর্তনের চাবিকাঠি।,Metaphorical
তার চিন্তাধারা পাহাড়ের মতো উচ্চ।,Literal
আমার জীবনে তুমি বৃষ্টির মতো শান্তি।,Metaphorical
শৈশব হলো সোনালী সকাল।,Literal
সময় নদীর মতো চলমান।,Metaphorical
তোমার হাসি যেন চাঁদের আলোর মতো।,Literal
জীবন হলো গল্পের বই।,Metaphorical
আমার নতুন বইটা খুব সুন্দর।,Literal
জ্ঞান হলো মনের প্রদীপ।,Metaphorical
তার প্রতিটি কথা সুরের মতো মধুর।,Literal
প্রকৃতি আমাদের সেরা শিক্ষক।,Metaphorical
বন্ধুত্ব হলো জীবনের সম্পদ।,Literal
মনের ভাবনা সূর্যের মতো স্পষ্ট।,Metaphorical
আমার জীবন নদীর স্রোতের মতো বয়ে যাচ্ছে,Literal
ভালো কাজ মানুষের হৃদয় জয় করে।,Metaphorical
তুমি সূর্যের মতো আমার পথ দেখাও।,Literal
তোমার ভালোবাসা আগুনের মতো উষ্ণ।,Metaphorical
সে প্রতিদিন সকালে মাঠে দৌড়ায়।,Literal
তার চোখে ছিল প্রজাপতির ডানা।,Metaphorical
তার কথাগুলো আগুনের মতো জ্বলন্ত।,Literal
আমার স্বপ্নগুলো আকাশে উড়ে বেড়ায়।,Metaphorical
তার চোখে ছিল গভীর সমুদ্র।,Literal
তোমার শব্দগুলো মধুর মতো।,Metaphorical
আমার ভালোবাসা নদীর মতো গভীর।,Literal
তার কণ্ঠস্বর বৃষ্টির মতো শান্ত।,Metaphorical
তার মুখে সূর্যের আলো,Literal
আমার স্মৃতিগুলো বাতাসে উড়ে যায়,Metaphorical
তার চিন্তা আকাশ ছুঁয়েছে।,Literal
তার কথায় হৃদয় নেচে ওঠে।,Metaphorical
পাখিটি গাছে বসে আছে,Literal
আমার হৃদয় ফুলের মতো ফুটে ওঠে।,Metaphorical
"তোমার মন যেন পাহাড়ের মতো দৃঢ়।,",Literal
ভালোবাসা হলো মনের রঙ।,Metaphorical
জীবন এক মহাসাগরের ঢেউ।,Literal
মনের কষ্ট নদীর জলে ভেসে যায়।,Metaphorical
জীবন একটি কাব্য।,Literal
ভালোবাসা হলো জীবনের ফুল।,Metaphorical
বৃক্ষের ছায়ায় শান্তি মেলে।,Literal
তোমার কথা হৃদয়ের তাপ।,Metaphorical
আমার স্বপ্নগুলো মেঘের মতো উড়ে।,Literal
তার উপস্থিতি গানের মতো মিষ্টি।,Metaphorical
তোমার মনের দরজা খুলে দাও।,Literal
তার চাওয়া আকাশ ছোঁয়া।,Metaphorical
তার কণ্ঠে ছিল ঝড়ের গর্জন।,Literal
স্বপ্ন হলো জীবনের জ্বালানি।,Metaphorical
সফলতা হলো ধৈর্যের ফল।,Literal
বন্ধুর কথা হৃদয়ের আয়না।,Metaphorical
তার কণ্ঠে সুরের ঝর্ণা।,Literal
তার চোখে ছিল চাঁদের আলো।,Metaphorical
তুমি আকাশের মতো অসীম।,Literal
তোমার প্রতিটি হাসি আমার দিনের আলো।,Metaphorical
মনের আকাশ মেঘে ঢাকা।,Metaphor
শিক্ষা জীবন পরিবর্তনের চাবিকাঠি।,Metaphor
তার চিন্তাধারা পাহাড়ের মত উচ্চ।,Metaphor
আমার রাত তুমি বৃষ্টির মতো শান্তি।,Metaphor
শৈশব সকাল সোনালী সকাল।,Metaphor
সময় মতো চলমান।,Metaphor
তোমার হাসি পাতা চাঁদের আলোর মতো।,Metaphor
জীবনযাপন গল্পের বই।,Metaphor
আমার নতুন বইটা খুব সুন্দর।,Metaphor
জ্ঞানহার মনেরপ্রদীপ।,Metaphor
তার কথা সুরের মতো মধুর।,Metaphor
প্রকৃতি আমাদের সেরা শিক্ষক।,Metaphor
বন্ধুত্ব বজায় রাখা।,Metaphor
মনের ভাবনা সূর্যের মত।,Metaphor
আমার জীবন স্রোতের মতো বয়ে যাচ্ছে,Metaphor
ভালো কাজ মানুষের হৃদয় জয় করে।,Metaphor
তুমি সূর্যের মতো আমার পথ দেখাও।,Metaphor
তোমার প্রেম আগুনের মতো উষ্ণ।,Metaphor
সে প্রতিদিন সকাল চলায়।,Metaphor
তারনা ছিল প্রজা প্রজার ডা.,Metaphor
তার কথাগুলো আগুনের মতো জ্বলন্ত।,Metaphor
আমার স্বপ্নগুলো আকাশে উড়ে বেড়ায়।,Metaphor
তার গভীর সমুদ্র।,Metaphor
তোমার শব্দগুলো মধুর মতো।,Metaphor
আমার ভালোবাসার মতো গভীর।,Metaphor
তার স্বস্বর বৃষ্টির মতো শান্ত।,Metaphor
তার সূর্যের আলো,Metaphor
আমার স্মৃতিগুলো বাতাসে উড়ে যায়,Metaphor
তার চিন্তা আকাশ ছুঁয়েছে।,Metaphor
তার কথায় হৃদয় নেচেছন।,Metaphor
পাখিটি গাছে গাছ আছে,Metaphor
আমার হৃদয়ের ফুলের মতো ফুটে পথ।,Metaphor
"তোমার মন পাহাড়ের মতো দৃঢ়,",Metaphor
ভালোবাসা মনের রঙ।,Metaphor
জীবন এক পথের ঢেউ।,Metaphor
মনের কষ্ট জলে ভেসে যায়।,Metaphor
জীবন একটি কাব্য।,Metaphor
